absolute_time_s,absolute_time_h,cycle2_elapsed_h,gross_injection_rate_m3_s,gross_injection_rate_m3_h,cycle2_cumulative_injection_m3
1242250.000000000,345.069444444,105.069444444,2.426447189670e-03,8.735209883,1150.759661663
1245850.000000000,346.069444444,106.069444444,2.421080482451e-03,8.715889737,1159.485211473
1249450.000000000,347.069444444,107.069444444,2.415800526803e-03,8.696881896,1168.191597289
1253050.000000000,348.069444444,108.069444444,2.410587199560e-03,8.678113918,1176.879095197
1256650.000000000,349.069444444,109.069444444,2.405509141787e-03,8.659832910,1185.548068611
1260250.000000000,350.069444444,110.069444444,2.400383483242e-03,8.641380540,1194.198675336
1263850.000000000,351.069444444,111.069444444,2.395302068842e-03,8.623087448,1202.830909330
1267450.000000000,352.069444444,112.069444444,2.390241849287e-03,8.604870657,1211.444888383
1271050.000000000,353.069444444,113.069444444,2.385208674121e-03,8.586751227,1220.040699325
1274650.000000000,354.069444444,114.069444444,2.380169037143e-03,8.568608534,1228.618379205
1278250.000000000,355.069444444,115.069444444,2.375212003505e-03,8.550763213,1237.178065078
1281850.000000000,356.069444444,116.069444444,2.370281305248e-03,8.533012699,1245.719953034
1285450.000000000,357.069444444,117.069444444,2.365425702779e-03,8.515532530,1254.244225648
1289050.000000000,358.069444444,118.069444444,2.360683437951e-03,8.498460377,1262.751222102
1292650.000000000,359.069444444,119.069444444,2.356087149171e-03,8.481913737,1271.241409159
1296250.000000000,360.069444444,120.069444444,2.351596221724e-03,8.465746398,1279.715239226
1299850.000000000,361.069444444,121.069444444,2.347183313738e-03,8.449859929,1288.173042390
1303450.000000000,362.069444444,122.069444444,2.342841004716e-03,8.434227617,1296.615086163
1307050.000000000,363.069444444,123.069444444,2.338597606513e-03,8.418951383,1305.041675663
1310650.000000000,364.069444444,124.069444444,2.334477630472e-03,8.404119470,1313.453211090
1314250.000000000,365.069444444,125.069444444,2.330401349397e-03,8.389444858,1321.849993254
1317850.000000000,366.069444444,126.069444444,2.326414640471e-03,8.375092706,1330.232262036
1321450.000000000,367.069444444,127.069444444,2.322462466867e-03,8.360864881,1338.600240829
1325050.000000000,368.069444444,128.069444444,2.318654253930e-03,8.347155314,1346.954250926
1328650.000000000,369.069444444,129.069444444,2.314890996657e-03,8.333607588,1355.294632377
1332250.000000000,370.069444444,130.069444444,2.311193805046e-03,8.320297698,1363.621585020
1335850.000000000,371.069444444,131.069444444,2.307628903591e-03,8.307464053,1371.935465896
1339450.000000000,372.069444444,132.069444444,2.304084375285e-03,8.294703751,1380.236549798
1343050.000000000,373.069444444,133.069444444,2.300656204547e-03,8.282362336,1388.525082842
1346650.000000000,374.069444444,134.069444444,2.297232858681e-03,8.270038291,1396.801283155
1350250.000000000,375.069444444,135.069444444,2.293915438410e-03,8.258095578,1405.065350090
1353850.000000000,376.069444444,136.069444444,2.290647927860e-03,8.246332540,1413.317564149
1357450.000000000,377.069444444,137.069444444,2.287448188320e-03,8.234813478,1421.558137159
1361050.000000000,378.069444444,138.069444444,2.284372573137e-03,8.223741263,1429.787414529
1364650.000000000,379.069444444,139.069444444,2.281407484689e-03,8.213066945,1438.005818633
1368250.000000000,380.069444444,140.069444444,2.278452998109e-03,8.202430793,1446.213567502
1371850.000000000,381.069444444,141.069444444,2.275611927981e-03,8.192202941,1454.410884369
1375450.000000000,382.069444444,142.069444444,2.272811141774e-03,8.182120110,1462.598045895
1379050.000000000,383.069444444,143.069444444,2.270078393554e-03,8.172282217,1470.775247058
1382650.000000000,384.069444444,144.069444444,2.267431260079e-03,8.162752536,1478.942764435
1386250.000000000,385.069444444,145.069444444,2.264828492125e-03,8.153382572,1487.100831989
1389850.000000000,386.069444444,146.069444444,2.262285977212e-03,8.144229518,1495.249638034
1393450.000000000,387.069444444,147.069444444,2.259787910403e-03,8.135236477,1503.389371031
1397050.000000000,388.069444444,148.069444444,2.257327221795e-03,8.126377998,1511.520178269
1400650.000000000,389.069444444,149.069444444,2.254888307235e-03,8.117597906,1519.642166222
1404250.000000000,390.069444444,150.069444444,2.252552457847e-03,8.109188848,1527.755559599
1407850.000000000,391.069444444,151.069444444,2.250205671154e-03,8.100740416,1535.860524231
1411450.000000000,392.069444444,152.069444444,2.247899081749e-03,8.092436694,1543.957112786
1415050.000000000,393.069444444,153.069444444,2.245634974433e-03,8.084285908,1552.045474087
1418650.000000000,394.069444444,154.069444444,2.243375541720e-03,8.076151950,1560.125693016
1422250.000000000,395.069444444,155.069444444,2.241174186945e-03,8.068227073,1568.197882528
1425850.000000000,396.069444444,156.069444444,2.238990720486e-03,8.060366594,1576.262179361
1429450.000000000,397.069444444,157.069444444,2.236844946563e-03,8.052641808,1584.318683562
1433050.000000000,398.069444444,158.069444444,2.234725501879e-03,8.045011807,1592.367510369
1436650.000000000,399.069444444,159.069444444,2.232638390707e-03,8.037498207,1600.408765376
1440250.000000000,400.069444444,160.069444444,2.230545527629e-03,8.029963899,1608.442496429
1443850.000000000,401.069444444,161.069444444,2.228562402389e-03,8.022824649,1616.468890703
1447450.000000000,402.069444444,162.069444444,2.226499813595e-03,8.015399329,1624.488002692
1451050.000000000,403.069444444,163.069444444,2.224606616311e-03,8.008583819,1632.499994266
1454650.000000000,404.069444444,164.069444444,2.222679117108e-03,8.001644822,1640.505108586
1458250.000000000,405.069444444,165.069444444,2.220769439426e-03,7.994769982,1648.503315987
1461850.000000000,406.069444444,166.069444444,2.218889916486e-03,7.988003699,1656.494702828
1465450.000000000,407.069444444,167.069444444,2.217042347324e-03,7.981352450,1664.479380903
1469050.000000000,408.069444444,168.069444444,2.215222178838e-03,7.974799844,1672.457457050
1472650.000000000,409.069444444,169.069444444,2.213443765361e-03,7.968397555,1680.429055750
1476250.000000000,410.069444444,170.069444444,2.211690946070e-03,7.962087406,1688.394298230
1479850.000000000,411.069444444,171.069444444,2.209951430305e-03,7.955825149,1696.353254508
1483450.000000000,412.069444444,172.069444444,2.208238994394e-03,7.949660380,1704.305997272
1487050.000000000,413.069444444,173.069444444,2.206570921857e-03,7.943655319,1712.252655121
1490650.000000000,414.069444444,174.069444444,2.204968004361e-03,7.937884816,1720.193425189
1494250.000000000,415.069444444,175.069444444,2.203379465894e-03,7.932166077,1728.128450635
1497850.000000000,416.069444444,176.069444444,2.201832038307e-03,7.926595338,1736.057831343
1501450.000000000,417.069444444,177.069444444,2.200314562836e-03,7.921132426,1743.981695225
1505050.000000000,418.069444444,178.069444444,2.198824395792e-03,7.915767825,1751.900145350
1508650.000000000,419.069444444,179.069444444,2.197364349270e-03,7.910511657,1759.813285091
1512250.000000000,420.069444444,180.069444444,2.195938231176e-03,7.905377632,1767.721229736
1515850.000000000,421.069444444,181.069444444,2.194541706403e-03,7.900350143,1775.624093624
1519450.000000000,422.069444444,182.069444444,2.193175446877e-03,7.895431609,1783.521984500
1523050.000000000,423.069444444,183.069444444,2.191833319950e-03,7.890599952,1791.415000280
1526650.000000000,424.069444444,184.069444444,2.190542685285e-03,7.885953667,1799.303277089
1530250.000000000,425.069444444,185.069444444,2.189267235595e-03,7.881362048,1807.186934947
1533850.000000000,426.069444444,186.069444444,2.188017039462e-03,7.876861342,1815.066046642
1537450.000000000,427.069444444,187.069444444,2.186800799250e-03,7.872482877,1822.940718752
1541050.000000000,428.069444444,188.069444444,2.185607170060e-03,7.868185812,1830.811053096
1544650.000000000,429.069444444,189.069444444,2.184440004157e-03,7.863984015,1838.677138010
1548250.000000000,430.069444444,190.069444444,2.183288353429e-03,7.859838072,1846.539049054
1551850.000000000,431.069444444,191.069444444,2.182165480963e-03,7.855795731,1854.396865956
1555450.000000000,432.069444444,192.069444444,2.181067143499e-03,7.851841717,1862.250684680
1559050.000000000,433.069444444,193.069444444,2.179992384640e-03,7.847972585,1870.100591830
1562650.000000000,434.069444444,194.069444444,2.178938983368e-03,7.844180340,1877.946668293
1566250.000000000,435.069444444,195.069444444,2.177903362190e-03,7.840452104,1885.788984515
1569850.000000000,436.069444444,196.069444444,2.176890796700e-03,7.836806868,1893.627614001
1573450.000000000,437.069444444,197.069444444,2.175899514120e-03,7.833238251,1901.462636560
1577050.000000000,438.069444444,198.069444444,2.174929897597e-03,7.829747631,1909.294129501
1580650.000000000,439.069444444,199.069444444,2.173980257846e-03,7.826328928,1917.122167781
1584250.000000000,440.069444444,200.069444444,2.173044030742e-03,7.822958511,1924.946811501
1587850.000000000,441.069444444,201.069444444,2.172132809533e-03,7.819678114,1932.768129813
1591450.000000000,442.069444444,202.069444444,2.171245507800e-03,7.816483828,1940.586210784
1595050.000000000,443.069444444,203.069444444,2.170372977948e-03,7.813342721,1948.401124059
1598650.000000000,444.069444444,204.069444444,2.169508554840e-03,7.810230797,1956.212910818
1602250.000000000,445.069444444,205.069444444,2.168666086827e-03,7.807197913,1964.021625173
1605850.000000000,446.069444444,206.069444444,2.167848909146e-03,7.804256073,1971.827352165
1609450.000000000,447.069444444,207.069444444,2.167046451812e-03,7.801367227,1979.630163815
1613050.000000000,448.069444444,208.069444444,2.166262470178e-03,7.798544893,1987.430119875
1616650.000000000,449.069444444,209.069444444,2.165494123294e-03,7.795778844,1995.227281743
1620250.000000000,450.069444444,210.069444444,2.164730459804e-03,7.793029655,2003.021685992
1623850.000000000,451.069444444,211.069444444,2.163988347204e-03,7.790358050,2010.813379845
1627450.000000000,452.069444444,212.069444444,2.163255674683e-03,7.787720429,2018.602419084
1631050.000000000,453.069444444,213.069444444,2.162537796938e-03,7.785136069,2026.388847333
1634650.000000000,454.069444444,214.069444444,2.161843863546e-03,7.782637909,2034.172734322
1638250.000000000,455.069444444,215.069444444,2.161167726135e-03,7.780203814,2041.954155184
1641850.000000000,456.069444444,216.069444444,2.160494991454e-03,7.777781969,2049.733148075
1645450.000000000,457.069444444,217.069444444,2.159832316442e-03,7.775396339,2057.509737230
1649050.000000000,458.069444444,218.069444444,2.159185451390e-03,7.773067625,2065.283969212
1652650.000000000,459.069444444,219.069444444,2.158554216188e-03,7.770795178,2073.055900613
1656250.000000000,460.069444444,220.069444444,2.157942285636e-03,7.768592228,2080.825594317
