time_s,time_h,gross_injection_rate_m3_s,gross_injection_rate_m3_h,cumulative_gross_injection_m3
666000.000000000,185.000000000,3.220101171262e-03,11.592364217,3870.764747055
669600.000000000,186.000000000,3.203331155557e-03,11.531992160,3882.326925243
673200.000000000,187.000000000,3.186698877328e-03,11.472115958,3893.828979302
676800.000000000,188.000000000,3.169692389278e-03,11.410892601,3905.270483582
680400.000000000,189.000000000,3.152118974817e-03,11.347628309,3916.649744037
684000.000000000,190.000000000,3.135090531557e-03,11.286325914,3927.966721149
687600.000000000,191.000000000,3.118924559642e-03,11.228128415,3939.223948313
691200.000000000,192.000000000,3.102989657016e-03,11.170762765,3950.423393903
694800.000000000,193.000000000,3.085226137988e-03,11.106814097,3961.562182334
698400.000000000,194.000000000,3.067222331902e-03,11.042000395,3972.636589580
702000.000000000,195.000000000,3.050505443121e-03,10.981819595,3983.648499575
705600.000000000,196.000000000,3.033960835522e-03,10.922259008,3994.600538876
709200.000000000,197.000000000,3.017512641357e-03,10.863045509,4005.493191135
712800.000000000,198.000000000,3.001219347640e-03,10.804389652,4016.326908715
716400.000000000,199.000000000,2.985164744750e-03,10.746593081,4027.102400081
720000.000000000,200.000000000,2.969176671922e-03,10.689036019,4037.820214631
723600.000000000,201.000000000,2.953939968359e-03,10.634183886,4048.481824584
727200.000000000,202.000000000,2.938859280250e-03,10.579893409,4059.088863231
730867.000000000,203.018611111,2.924040958206e-03,10.526547450,4069.838490818
734587.000000000,204.051944444,2.909141987679e-03,10.472911156,4080.688211098
738024.000000000,205.006666667,2.895165922206e-03,10.422597320,4090.662914241
741635.000000000,206.009722222,2.880729249352e-03,10.370625298,4101.091292973
745289.000000000,207.024722222,2.865793906019e-03,10.316858062,4111.590190778
748832.000000000,208.008888889,2.849363123559e-03,10.257707245,4121.714591456
752400.000000000,209.000000000,2.833119394605e-03,10.199229821,4131.852140268
756062.000000000,210.017222222,2.817110467728e-03,10.141597684,4142.197711146
759774.000000000,211.048333333,2.801150787515e-03,10.084142835,4152.625204036
763272.000000000,212.020000000,2.785821187834e-03,10.028956276,4162.396818021
766872.000000000,213.020000000,2.769191619413e-03,9.969089830,4172.395841074
770472.000000000,214.020000000,2.751874661080e-03,9.906748780,4182.333760379
774072.000000000,215.020000000,2.734878354240e-03,9.845562075,4192.209915806
777672.000000000,216.020000000,2.717521372500e-03,9.783076941,4202.024235315
781272.000000000,217.020000000,2.699423950126e-03,9.717926220,4211.774736895
