absolute_time_h,gross_injection_rate_m3_h,cycle_cumulative_injection_m3
1033.449999999933,37.691992799,2722.553528827
1033.499999999933,37.691490216,2724.438115903
1033.549999999933,37.690987633,2726.322677849
1033.599999999933,37.690485050,2728.207214666
1033.649999999933,37.689982467,2730.091726354
1033.699999999933,37.689479884,2731.976212913
1033.749999999933,37.688977300,2733.860674342
1033.799999999933,37.688474717,2735.745110643
1033.849999999933,37.687972134,2737.629521814
1033.899999999933,37.687469551,2739.513907856
1033.949999999933,37.686966968,2741.398268769
1033.999999999933,37.686464385,2743.282604553
1034.025000000000,37.686213094,2744.224763024
1034.049999999933,37.685937236,2745.166914901
1034.099999999933,37.685385521,2747.051197969
1034.149999999932,37.684833806,2748.935453453
1034.199999999932,37.684282092,2750.819681350
1034.249999999932,37.683730377,2752.703881662
1034.299999999932,37.683178662,2754.588054388
1034.349999999932,37.682626947,2756.472199528
1034.399999999932,37.682075232,2758.356317082
1034.449999999932,37.681523517,2760.240407051
1034.499999999932,37.680971802,2762.124469434
1034.549999999932,37.680420087,2764.008504231
1034.599999999932,37.679868372,2765.892511443
1034.649999999932,37.679316658,2767.776491069
1034.699999999932,37.678764943,2769.660443109
1034.749999999932,37.678213228,2771.544367563
1034.799999999932,37.677661513,2773.428264431
1034.849999999932,37.677109798,2775.312133714
1034.899999999932,37.676558083,2777.195975411
1034.949999999932,37.676006368,2779.079789523
1034.999999999932,37.675454653,2780.963576048
1035.025000000000,37.675178796,2781.905458969
1035.049999999932,37.674903897,2782.847335000
1035.099999999932,37.674354098,2784.731066450
1035.149999999932,37.673804300,2786.614770410
1035.199999999932,37.673254501,2788.498446880
1035.249999999932,37.672704702,2790.382095860
1035.299999999932,37.672154904,2792.265717350
1035.349999999932,37.671605105,2794.149311350
1035.399999999931,37.671055307,2796.032877860
1035.449999999931,37.670505508,2797.916416881
1035.499999999931,37.669955710,2799.799928411
1035.549999999931,37.669405911,2801.683412452
1035.599999999931,37.668856113,2803.566869002
1035.649999999931,37.668306314,2805.450298063
1035.699999999931,37.667756515,2807.333699634
1035.749999999931,37.667206717,2809.217073715
1035.799999999931,37.666656918,2811.100420305
1035.849999999931,37.666107120,2812.983739406
1035.899999999931,37.665557321,2814.867031017
1035.949999999931,37.665007523,2816.750295139
1035.999999999931,37.664457724,2818.633531770
1036.025000000000,37.664182825,2819.575139779
1036.049999999931,37.663906050,2820.516740888
1036.099999999931,37.663352502,2822.399922351
1036.149999999931,37.662798953,2824.283076138
1036.199999999931,37.662245404,2826.166202247
1036.249999999931,37.661691856,2828.049300678
1036.299999999931,37.661138307,2829.932371432
1036.349999999930,37.660584758,2831.815414509
1036.399999999930,37.660031210,2833.698429908
1036.449999999930,37.659477661,2835.581417630
1036.499999999930,37.658924112,2837.464377674
1036.549999999930,37.658370564,2839.347310041
1036.599999999930,37.657817015,2841.230214730
1036.649999999930,37.657263466,2843.113091742
1036.699999999930,37.656709918,2844.995941077
1036.749999999930,37.656156369,2846.878762734
1036.799999999930,37.655602820,2848.761556714
1036.849999999930,37.655049271,2850.644323016
1036.899999999930,37.654495723,2852.527061641
1036.949999999930,37.653942174,2854.409772589
1036.999999999930,37.653388625,2856.292455859
1037.025000000000,37.653111851,2857.233787117
1037.049999999930,37.652798449,2858.175110993
1037.099999999930,37.652171646,2860.057735246
1037.149999999930,37.651544843,2861.940328158
1037.199999999930,37.650918040,2863.822889730
1037.249999999930,37.650291237,2865.705419962
1037.299999999930,37.649664433,2867.587918854
1037.349999999930,37.649037630,2869.470386405
1037.399999999930,37.648410827,2871.352822617
1037.449999999930,37.647784024,2873.235227488
1037.499999999930,37.647157221,2875.117601019
1037.549999999930,37.646530417,2876.999943210
1037.599999999929,37.645903614,2878.882254061
1037.649999999929,37.645276811,2880.764533571
1037.699999999929,37.644650008,2882.646781742
1037.749999999929,37.644023205,2884.528998572
1037.799999999929,37.643396401,2886.411184062
1037.849999999929,37.642769598,2888.293338212
1037.899999999929,37.642142795,2890.175461022
1037.949999999929,37.641515992,2892.057552492
1037.999999999929,37.640889189,2893.939612621
1038.025000000000,37.640575787,2894.880630936
1038.049999999929,37.640267145,2895.821641470
1038.099999999929,37.639649861,2897.703639395
1038.149999999929,37.639032578,2899.585606456
1038.199999999929,37.638415294,2901.467542653
1038.249999999929,37.637798010,2903.349447986
1038.299999999929,37.637180726,2905.231322454
1038.349999999929,37.636563442,2907.113166058
1038.399999999929,37.635946159,2908.994978798
1038.449999999929,37.635328875,2910.876760674
1038.499999999929,37.634711591,2912.758511686
1038.549999999928,37.634094307,2914.640231833
1038.599999999928,37.633477024,2916.521921116
1038.649999999928,37.632859740,2918.403579536
1038.699999999928,37.632242456,2920.285207090
1038.749999999928,37.631625172,2922.166803781
1038.799999999928,37.631007888,2924.048369608
