time_h,segment,source_vtu,packaged_vtu
1008.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00008.vtu,C3_drywell_formal_C3_960_1440h_6h-00008.vtu
1014.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00009.vtu,C3_drywell_formal_C3_960_1440h_6h-00009.vtu
1020.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00010.vtu,C3_drywell_formal_C3_960_1440h_6h-00010.vtu
1026.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00011.vtu,C3_drywell_formal_C3_960_1440h_6h-00011.vtu
1032.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00012.vtu,C3_drywell_formal_C3_960_1440h_6h-00012.vtu
1038.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00013.vtu,C3_drywell_formal_C3_960_1440h_6h-00013.vtu
1044.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00014.vtu,C3_drywell_formal_C3_960_1440h_6h-00014.vtu
1050.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00015.vtu,C3_drywell_formal_C3_960_1440h_6h-00015.vtu
1056.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00016.vtu,C3_drywell_formal_C3_960_1440h_6h-00016.vtu
1062.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00017.vtu,C3_drywell_formal_C3_960_1440h_6h-00017.vtu
1068.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00018.vtu,C3_drywell_formal_C3_960_1440h_6h-00018.vtu
1074.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00019.vtu,C3_drywell_formal_C3_960_1440h_6h-00019.vtu
1080.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00020.vtu,C3_drywell_formal_C3_960_1440h_6h-00020.vtu
1086.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00021.vtu,C3_drywell_formal_C3_960_1440h_6h-00021.vtu
1092.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00022.vtu,C3_drywell_formal_C3_960_1440h_6h-00022.vtu
1098.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00023.vtu,C3_drywell_formal_C3_960_1440h_6h-00023.vtu
1104.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00024.vtu,C3_drywell_formal_C3_960_1440h_6h-00024.vtu
1110.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00025.vtu,C3_drywell_formal_C3_960_1440h_6h-00025.vtu
1116.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00026.vtu,C3_drywell_formal_C3_960_1440h_6h-00026.vtu
1122.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00027.vtu,C3_drywell_formal_C3_960_1440h_6h-00027.vtu
1128.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00028.vtu,C3_drywell_formal_C3_960_1440h_6h-00028.vtu
1134.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00029.vtu,C3_drywell_formal_C3_960_1440h_6h-00029.vtu
1140.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00030.vtu,C3_drywell_formal_C3_960_1440h_6h-00030.vtu
1146.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00031.vtu,C3_drywell_formal_C3_960_1440h_6h-00031.vtu
1152.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00032.vtu,C3_drywell_formal_C3_960_1440h_6h-00032.vtu
1158.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00033.vtu,C3_drywell_formal_C3_960_1440h_6h-00033.vtu
1164.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00034.vtu,C3_drywell_formal_C3_960_1440h_6h-00034.vtu
1170.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00035.vtu,C3_drywell_formal_C3_960_1440h_6h-00035.vtu
1176.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00036.vtu,C3_drywell_formal_C3_960_1440h_6h-00036.vtu
1182.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00037.vtu,C3_drywell_formal_C3_960_1440h_6h-00037.vtu
1188.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00038.vtu,C3_drywell_formal_C3_960_1440h_6h-00038.vtu
1194.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00039.vtu,C3_drywell_formal_C3_960_1440h_6h-00039.vtu
1200.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00040.vtu,C3_drywell_formal_C3_960_1440h_6h-00040.vtu
1206.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00041.vtu,C3_drywell_formal_C3_960_1440h_6h-00041.vtu
1212.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00042.vtu,C3_drywell_formal_C3_960_1440h_6h-00042.vtu
1218.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00043.vtu,C3_drywell_formal_C3_960_1440h_6h-00043.vtu
1224.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00044.vtu,C3_drywell_formal_C3_960_1440h_6h-00044.vtu
1230.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00045.vtu,C3_drywell_formal_C3_960_1440h_6h-00045.vtu
1236.0527777777777,C3,drywell_formal_C3_960_1440h_6h-00046.vtu,C3_drywell_formal_C3_960_1440h_6h-00046.vtu
1242.0194444444444,C3,drywell_formal_C3_960_1440h_6h-00047.vtu,C3_drywell_formal_C3_960_1440h_6h-00047.vtu
1248.0027777777777,C3,drywell_formal_C3_960_1440h_6h-00048.vtu,C3_drywell_formal_C3_960_1440h_6h-00048.vtu
1254.0611111111111,C3,drywell_formal_C3_960_1440h_6h-00049.vtu,C3_drywell_formal_C3_960_1440h_6h-00049.vtu
1260.0472222222222,C3,drywell_formal_C3_960_1440h_6h-00050.vtu,C3_drywell_formal_C3_960_1440h_6h-00050.vtu
1266.075,C3,drywell_formal_C3_960_1440h_6h-00051.vtu,C3_drywell_formal_C3_960_1440h_6h-00051.vtu
1272.036111111111,C3,drywell_formal_C3_960_1440h_6h-00052.vtu,C3_drywell_formal_C3_960_1440h_6h-00052.vtu
1278.0944444444444,C3,drywell_formal_C3_960_1440h_6h-00053.vtu,C3_drywell_formal_C3_960_1440h_6h-00053.vtu
1284.0194444444444,C3,drywell_formal_C3_960_1440h_6h-00054.vtu,C3_drywell_formal_C3_960_1440h_6h-00054.vtu
1290.0472222222222,C3,drywell_formal_C3_960_1440h_6h-00055.vtu,C3_drywell_formal_C3_960_1440h_6h-00055.vtu
1296.0472222222222,C3,drywell_formal_C3_960_1440h_6h-00056.vtu,C3_drywell_formal_C3_960_1440h_6h-00056.vtu
1302.0472222222222,C3,drywell_formal_C3_960_1440h_6h-00057.vtu,C3_drywell_formal_C3_960_1440h_6h-00057.vtu
1308.0472222222222,C3,drywell_formal_C3_960_1440h_6h-00058.vtu,C3_drywell_formal_C3_960_1440h_6h-00058.vtu
1314.0472222222222,C3,drywell_formal_C3_960_1440h_6h-00059.vtu,C3_drywell_formal_C3_960_1440h_6h-00059.vtu
1320.0472222222222,C3,drywell_formal_C3_960_1440h_6h-00060.vtu,C3_drywell_formal_C3_960_1440h_6h-00060.vtu
1326.0472222222222,C3,drywell_formal_C3_960_1440h_6h-00061.vtu,C3_drywell_formal_C3_960_1440h_6h-00061.vtu
1332.0194444444444,C3,drywell_formal_C3_960_1440h_6h-00062.vtu,C3_drywell_formal_C3_960_1440h_6h-00062.vtu
1338.088888888889,C3,drywell_formal_C3_960_1440h_6h-00063.vtu,C3_drywell_formal_C3_960_1440h_6h-00063.vtu
1344.088888888889,C3,drywell_formal_C3_960_1440h_6h-00064.vtu,C3_drywell_formal_C3_960_1440h_6h-00064.vtu
