time_h,time_days,drywell_cumulative_injection_m3,floodmar_cumulative_injection_m3
341.0,14.208333333333334,4147.7,10543.7
342.0,14.25,4147.7,10543.7
343.0,14.291666666666666,4147.7,10543.7
344.0,14.333333333333334,4147.7,10543.7
345.0,14.375,4147.7,10543.7
346.0,14.416666666666666,4147.7,10543.7
347.0,14.458333333333334,4147.7,10543.7
348.0,14.5,4147.7,10543.7
349.0,14.541666666666666,4147.7,10543.7
350.0,14.583333333333334,4147.7,10543.7
351.0,14.625,4147.7,10543.7
352.0,14.666666666666666,4147.7,10543.7
353.0,14.708333333333334,4147.7,10543.7
354.0,14.75,4147.7,10543.7
355.0,14.791666666666666,4147.7,10543.7
356.0,14.833333333333334,4147.7,10543.7
357.0,14.875,4147.7,10543.7
358.0,14.916666666666666,4147.7,10543.7
359.0,14.958333333333334,4147.7,10543.7
360.0,15.0,4147.7,10543.7
361.0,15.041666666666666,4147.7,10543.7
362.0,15.083333333333334,4147.7,10543.7
363.0,15.125,4147.7,10543.7
364.0,15.166666666666666,4147.7,10543.7
365.0,15.208333333333334,4147.7,10543.7
366.0,15.25,4147.7,10543.7
367.0,15.291666666666666,4147.7,10543.7
368.0,15.333333333333334,4147.7,10543.7
369.0,15.375,4147.7,10543.7
370.0,15.416666666666666,4147.7,10543.7
371.0,15.458333333333334,4147.7,10543.7
372.0,15.5,4147.7,10543.7
373.0,15.541666666666666,4147.7,10543.7
374.0,15.583333333333334,4147.7,10543.7
375.0,15.625,4147.7,10543.7
376.0,15.666666666666666,4147.7,10543.7
377.0,15.708333333333334,4147.7,10543.7
378.0,15.75,4147.7,10543.7
379.0,15.791666666666666,4147.7,10543.7
380.0,15.833333333333334,4147.7,10543.7
381.0,15.875,4147.7,10543.7
382.0,15.916666666666666,4147.7,10543.7
383.0,15.958333333333334,4147.7,10543.7
384.0,16.0,4147.7,10543.7
385.0,16.041666666666668,4147.7,10543.7
386.0,16.083333333333332,4147.7,10543.7
387.0,16.125,4147.7,10543.7
388.0,16.166666666666668,4147.7,10543.7
